Venta Real,Venta Predicha
3696.0,8272.706551295925
3344.69,2215.1998499999986
55732.8,21362.163971428592
125906.34,2401956.768129022
69600.0,71656.5241
305295.86,17769.151762510635
3466.8,620.7750000000011
485100.0,226024.79471666669
18922.39,12268.172681069766
61488.0,47497.85587142857
23825.38,154959.2819635492
5027.11,9820.632827380949
5376.0,7225.238428968253
8942.84,12167.406123333338
4859.5,38136.47588690473
19450.71,29396.994465
1779.24,1837.3339666666666
13932.2,26287.381994271258
1943.88,2288.8684916666675
2325.6,4009.9081336904715
3533.22,4678.829800000003
4718.18,10459.464054285721
28896.0,50658.43605238096
14836.8,20015.16180000001
4184.16,8471.258674285706
1356022.17,209541.95835071403
9680.0,8311.235416666666
16731.07,16970.980900000017
343222.31,218787.742537381
7363.62,11470.40151555554
6586.63,1580.5826166666666
2915.71,4137.273753658006
1737.52,1010.912749999998
16656.25,47823.937194285645
5964.09,12809.018000000005
1471.52,3219.334399999999
2160.0,2375.6704999999997
4740.09,17097.337573881665
392368.5,226128.9545844448
17181.6,35531.807300000044
891.48,2028.0775754761898
36518.4,43279.03574913418
5730.0,7603.135899999997
11180.7,26862.129138095275
536940.0,365491.5693
219161.9,114102.9564492675
5821.98,14482.656706071411
3426.0,9293.467
4437.0,3457.7293333333323
2235.87,4418.736669501104
103696.0,162483.96263809522
779.5,1634.523585
5263.2,6455.272499999995
166314.05,87630.90822499992
2056.32,1100.9246735714282
20273.4,25823.568864761906
480.0,3593.87906666667
2857800.0,410654.80070000014
58696.23,84242.6921057143
72302.63,16960.503770972216
58342.28,183855.93602779217
125906.34,170708.720785119
3970.91,1121.992809841272
1273.88,5968.650917857146
23508.8,11681.35320842105
4267.4,6563.433499999997
13610.0,94893.97184444446
25607.25,12842.312983333331
4189.5,4181.297700000005
5107.44,17949.317728333353
3595.2,4369.1005212121245
2072.7,1943.3241000000012
13515.84,17296.904315000018
1360.8,16935.9344
10701.19,6354.771083333331
20451.6,43282.98703127577
268524.0,90700.16183460412
24767.6,24793.081560000042
54720.0,34641.069216666656
16018.08,7885.390930265954
10122.42,11833.462007891776
6869.16,12311.647665335504
1150.92,20507.04261706349
5799.75,8297.295345
973.2,1348.2440642857132
408.24,1461.711300000002
54340.0,13070.662670676691
310464.78,1744295.7711423058
137258.55,188773.454265
6076.03,2594.0122
186975.0,22708.71215455711
10481.34,12004.662132619043
19320.0,15631.561519444449
36337.18,11702.634225000003
1486.56,1523.5149000000022
47392.39,316241.5545446033
8605.8,81169.96327333333
1150.61,1618.9602373809528
2608.45,1543.6363824999999
47328.0,48000.10809999998
221269.62,363127.2746883333
184700.0,203187.8895
676.36,676.2608666666661
38414.87,67178.45540321418
8220.0,11814.840936458704
3165988.93,3035060.736
4205.11,5115.676575238096
1877.58,2317.782552142857
72857.52,306807.7164127838
4105263.12,1793826.089397508
11141.12,8135.292439999995
3041.28,4537.852380000002
20975.21,20569.23356314408
13426.2,31210.75890104894
11334.11,265565.4574797402
329385.0,141710.15679419195
9667.2,6590.215419999998
12477.3,5144.008869047616
586.37,695.3584622222215
2897.73,4028.349339999994
9887.6,42517.02259999999
39780.0,21170.797476190477
13761.98,8609.42186229548
12285.0,17617.946799999994
1274.7,6267.662306666664
10727.68,1040.2669057142853
2589.89,8912.7008
222345.6,219975.92760000008
98256.0,158441.12690476188
17257.8,19212.577760111293
5789.09,8531.121852680379
1260.0,1654.542199999999
44200.08,44200.080000000045
43888.32,185233.00195030312
21096.0,35269.981999999996
615330.0,152373.13791038963
42528.0,277342.7466883333
22148.76,25585.742593333314
33668.8,40553.96528547616
44236.8,91649.76170666657
7907.75,18306.481093750004
16588.27,5356.295213492062
1387.2,11059.866473742179
542640.0,2518220.6460800003
1246.4,2045.635499999998
2226.42,1986.9846542857172
44334.0,102086.81210909091
1536.0,2984.67
507.11,1747.4585050000003
5125.63,4373.940281428571
74392.56,53786.6159238095
63783.7,278874.4293785715
22312.08,13843.793419805199
189200.0,64858.238111666644
4920.43,10090.678099999994
1161.0,2176.093050000001
317530.29,243607.224903864
869781.82,182008.20342913698
14736.0,3861.889552380948
1772.76,3709.576339166669
2395.2,2198.0623000000005
8707.34,17114.391012499997
639900.0,236451.9085162338
3131.24,3008.0882907900436
2736.0,6365.962699999996
83596.8,81108.78346666669
56603.68,33323.175454545446
374173.08,414105.6498666668
367428.6,334575.33925000037
4363.92,1911.6588185064934
5056.8,4265.998773333337
4286.4,2885.4069000000018
970.91,1932.569878888892
69546.59,107611.28461509517
12528.25,26971.3
32127.99,76987.09715428577
11120.0,45420.670533333345
12334.71,14030.864800000012
318991.2,226965.5492156971
1557012.6,2064291.7535999985
25771.2,19773.446757287154
8189.26,10775.445152648459
3176.02,28436.1018588123
1310.4,1235.871058333333
21505.41,11179.74935519481
458.81,984.6380500000002
3758.4,5746.617085714288
2909.11,17059.082210119053
634.71,2782.5900199999996
51348.0,6446.70845376844
5094.0,3554.109564285715
188742.4,16144.753900000003
20918.4,18796.094066666647
19358.68,39338.34412532467
6997.32,5380.369759999999
3648.0,5462.534545454547
332628.1,155105.02726206346
15404.94,15322.967999999966
71753.6,127063.4389761727
1314.72,2078.568699999999
23925.06,23895.27549230773
7273.56,2137.398212698412
40068.89,24700.671866785713
46667.6,15613.802409939066
1354.58,1640.0023833333319
1731.82,2246.912537499999
581801.65,119174.81350999998
29186.78,16915.12969999999
719.7,3111.31686531746
127936.0,76822.02100000001
2484.0,1722.0714466666673
2780.83,77736.11438857147
145346.0,159788.07721547617
19485.75,41154.2869
3296.23,11131.844457023804
51480.0,30702.263599999984
3720.96,6869.043300000008
670.91,967.0473239177498
